15	10	E	-9223384.010276219	163
emissionprobs	9	0	H3K27ac	1	0.5466947852748198
emissionprobs	9	1	H3K27me3	0	0.9998104881929791
emissionprobs	9	1	H3K27me3	1	1.8951180702081474E-4
emissionprobs	9	2	H3K36me3	0	0.8900376848554485
emissionprobs	9	2	H3K36me3	1	0.10996231514455146
emissionprobs	9	3	H3K4me1	0	0.05925078532432684
emissionprobs	9	3	H3K4me1	1	0.9407492146756732
emissionprobs	9	4	H3K4me2	0	0.6643607101199511
emissionprobs	9	4	H3K4me2	1	0.3356392898800489
emissionprobs	9	5	H3K4me3	0	0.978970598459922
emissionprobs	9	5	H3K4me3	1	0.021029401540078103
emissionprobs	9	6	H3K79me2	0	0.9266164255506183
emissionprobs	9	6	H3K79me2	1	0.07338357444938172
emissionprobs	9	7	H3K9ac	0	0.38179777749969857
emissionprobs	9	7	H3K9ac	1	0.6182022225003014
emissionprobs	9	8	H3K9me3	0	0.9634805930478341
emissionprobs	9	8	H3K9me3	1	0.03651940695216587
emissionprobs	9	9	H4K20me1	0	0.992332937267144
emissionprobs	9	9	H4K20me1	1	0.0076670627328561235
emissionprobs	10	0	H3K27ac	0	0.11302045955653457
emissionprobs	10	0	H3K27ac	1	0.8869795404434654
emissionprobs	10	1	H3K27me3	0	0.9963970189208996
emissionprobs	10	1	H3K27me3	1	0.0036029810791004388
emissionprobs	10	2	H3K36me3	0	0.9876425161098877
emissionprobs	10	2	H3K36me3	1	0.012357483890112219
emissionprobs	10	3	H3K4me1	0	0.05474846862695952
emissionprobs	10	3	H3K4me1	1	0.9452515313730405
emissionprobs	10	4	H3K4me2	0	3.5908308798547634E-7
emissionprobs	10	4	H3K4me2	1	0.9999996409169121
emissionprobs	10	5	H3K4me3	0	0.17739173261919786
emissionprobs	10	5	H3K4me3	1	0.8226082673808021
emissionprobs	10	6	H3K79me2	0	0.9474488300769406
emissionprobs	10	6	H3K79me2	1	0.05255116992305938
emissionprobs	10	7	H3K9ac	0	0.03685197668649279
emissionprobs	10	7	H3K9ac	1	0.9631480233135072
emissionprobs	10	8	H3K9me3	0	0.9954418906827763
emissionprobs	10	8	H3K9me3	1	0.004558109317223664
emissionprobs	10	9	H4K20me1	0	0.9958250009547849
emissionprobs	10	9	H4K20me1	1	0.004174999045215054
emissionprobs	11	0	H3K27ac	0	0.02306962385440791
emissionprobs	11	0	H3K27ac	1	0.9769303761455921
emissionprobs	11	1	H3K27me3	0	0.9720931811035899
emissionprobs	11	1	H3K27me3	1	0.027906818896410023
emissionprobs	11	2	H3K36me3	0	0.9989075131239198
emissionprobs	11	2	H3K36me3	1	0.001092486876080243
emissionprobs	11	3	H3K4me1	0	0.9604504895980712
emissionprobs	11	3	H3K4me1	1	0.039549510401928854
emissionprobs	11	4	H3K4me2	0	0.19401088694975502
emissionprobs	11	4	H3K4me2	1	0.805989113050245
emissionprobs	11	5	H3K4me3	0	0.017361968840126744
emissionprobs	11	5	H3K4me3	1	0.9826380311598732
emissionprobs	11	6	H3K79me2	0	0.9816836064791175
emissionprobs	11	6	H3K79me2	1	0.018316393520882567
emissionprobs	11	7	H3K9ac	0	0.041750898944877934
emissionprobs	11	7	H3K9ac	1	0.9582491010551221
emissionprobs	11	8	H3K9me3	0	0.9946341632967985
emissionprobs	11	8	H3K9me3	1	0.005365836703201506
emissionprobs	11	9	H4K20me1	0	0.9992388210629131
emissionprobs	11	9	H4K20me1	1	7.611789370869323E-4
emissionprobs	12	0	H3K27ac	0	0.00699027769757008
emissionprobs	12	0	H3K27ac	1	0.99300972230243
emissionprobs	12	1	H3K27me3	0	0.9982943994341964
emissionprobs	12	1	H3K27me3	1	0.0017056005658036345
emissionprobs	12	2	H3K36me3	0	0.9047891332583066
emissionprobs	12	2	H3K36me3	1	0.09521086674169343
emissionprobs	12	3	H3K4me1	0	0.9375318138522482
emissionprobs	12	3	H3K4me1	1	0.06246818614775186
emissionprobs	12	4	H3K4me2	0	0.059418166714546465
emissionprobs	12	4	H3K4me2	1	0.9405818332854536
emissionprobs	12	5	H3K4me3	0	1.4129282805884634E-57
emissionprobs	12	5	H3K4me3	1	1.0
emissionprobs	12	6	H3K79me2	0	0.01659743833122446
emissionprobs	12	6	H3K79me2	1	0.9834025616687756
emissionprobs	12	7	H3K9ac	0	0.001074976678314304
emissionprobs	12	7	H3K9ac	1	0.9989250233216858
